Row Labels,Sum of GRADS,
34674135731708,68,
34674210132019,28,
34674390000001,7,
34674390101881,44,
34674390101899,64,
34674390101907,70,
34674390101972,246,
34674390102038,139,
34674390108951,36,
34674390114546,48,
34674393430154,105,
34674393430519,109,
34674393430865,196,
34674393431012,341,
34674393434636,269,
34674393434768,483,
34674393435419,471,
34674470121467,16,
34674473430048,164,
34674473430097,51,
34674473430386,97,
34674473430394,8,
34674473430493,480,
34674473430691,222,
34674473430717,776,
34674473430758,50,
34674473431111,270,
34674473432051,377,
34674473432317,275,
34674473432838,142,
34674473435930,385,
34674473436714,378,
34674473438504,141,
34674476034664,3,
34739730000001,1,
34739730106377,4,
34739733430378,291,
34739733430451,26,
34752830102236,415,
34752830112425,127,
34752830126060,30,
34752833430584,242,
34752833430626,52,
34752833430659,113,
34765050000001,3,
34765050101832,66,
34765050108415,186,
34765050108795,24,
34765050108837,98,
34765050114272,200,
34765050130757,99,
34765053430261,46,
34765053430634,122,
34765053430881,64,
34765053433265,225,
34765053433794,365,
34765053434370,135,
34765053436979,306,
35103550132308,6,
35103553530045,3,
35675383530029,61,
35675383537008,634,
35752593530060,54,
36103630107466,62,
36103633630431,22,
36103636069348,1,
36675870120592,322,
36675870128462,60,
36676113630712,50,
36676113630803,299,
36676373630290,18,
36676373631066,165,
36676520000001,1,
36676520126243,23,
36676523630225,585,
36676523630373,816,
36676523630571,812,
36676523631058,711,
36676523631157,451,
36676523632205,689,
36676523633906,605,
36676523634482,525,
36676523637659,189,
36676780000001,1,
36676783630035,357,
36676783630522,612,
36676783631017,744,
36676783631587,21,
36676783631769,84,
36676783632502,512,
36676860125500,503,
36676863630399,35,
36676863631322,454,
36676863632742,360,
36676863636131,91,
36677100000001,3,
36677100108191,593,
36677100120758,437,
36677103630019,122,
36677103630480,151,
36677103630555,469,
36677103630902,523,
36677103633302,462,
36677360116723,62,
36677360128439,23,
36677360130948,15,
36677360131151,10,
36677773630217,92,
36677773636743,157,
36677773638616,223,
36678010132720,3,
36678013630266,10,
36678013634169,52,
36678270111807,384,
36678270113928,122,
36678430000000,1,
36678430118802,508,
36678430127837,9,
36678433630779,528,
36678433630928,29,
36678433634995,89,
36678433635042,513,
36678500000001,1,
36678500102830,506,
36678503630159,147,
36678503630530,54,
36678503630597,554,
36678503633005,467,
36678680000001,1,
36678683630241,37,
36678683635265,258,
36678760107730,10,
36678760109850,49,
36678760120568,85,
36678760125450,317,
36678760128405,9,
36678763630308,341,
36678763630993,37,
36678763631082,525,
36678763631090,79,
36678763632221,630,
36678763632809,257,
36678763634680,284,
36678763635844,291,
36678763636081,477,
36678920134247,23,
36678923636487,16,
36679340110064,171,
36679340125419,318,
36679343630100,47,
36679343630670,417,
36679343630761,343,
36679343630787,428,
36679343638012,358,
36679346114698,77,
36679590101410,49,
36679590101816,2,
36679593633351,87,
36679593638509,559,
36738583630076,10,
36738900118109,4,
36738903630274,72,
36738903630282,18,
36738903631199,13,
36739573630233,415,
36739573630365,93,
36739573630589,6,
36739573631108,4,
36750440000001,1,
36750440107516,35,
36750440114389,54,
36750440115444,91,
36750440116707,121,
36750440119115,567,
36750443630407,434,
36750443630472,198,
36750443630746,408,
36750443630811,49,
36750510115089,24,
36750510136432,5,
36750513630563,41,
36750513630696,1,
36750693630456,76,
36750693637584,770,
36750773630423,488,
36750773630894,332,
36750773631009,11,
36750773631207,108,
37103710115998,16,
37103710120493,17,
37103710128520,160,
37103710128538,68,
37103711996545,12,
37103716119119,60,
37679830117887,1,
37679830131144,61,
37679830134890,16,
37679833730447,28,
37680236115778,62,
37680313731478,285,
37680490119990,288,
37680490129221,6,
37680490132506,75,
37680496119564,67,
37681060111195,257,
37681060127241,158,
37681063730058,459,
37681063731023,211,
37681063732054,97,
37681063732062,473,
37681063735313,392,
37681223730967,38,
37681223732179,441,
37681223732195,45,
37681300000001,2,
37681300128793,8,
37681300128819,8,
37681300132548,49,
37681303730066,458,
37681303730702,429,
37681303731262,492,
37681303731536,36,
37681303731692,275,
37681303731809,303,
37681303732336,547,
37681303732559,12,
37681303732625,464,
37681303732732,536,
37681303734548,356,
37681303734761,254,
37681303737905,333,
37681556117303,18,
37681630124271,168,
37681630128421,11,
37681633731239,146,
37681713733219,41,
37681890118323,28,
37681893731072,38,
37682130119560,22,
37682130123224,98,
37682130123240,16,
37682130127084,20,
37682130129668,8,
37682133730934,5,
37682133730991,6,
37682133731080,1,
37682133734878,58,
37682960000001,3,
37682960118935,483,
37682963730074,503,
37682963730819,542,
37682963731528,567,
37682963735842,75,
37682963735867,538,
37683040102178,17,
37683040131250,15,
37683043735958,39,
37683043735974,351,
37683380000001,14,
37683380106732,100,
37683380106799,101,
37683380107029,187,
37683380107052,114,
37683380107078,58,
37683380107086,64,
37683380107094,81,
37683380107102,61,
37683380107177,208,
37683380107219,109,
37683380107482,33,
37683380108787,99,
37683380114025,228,
37683380114462,160,
37683380114520,34,
37683380118315,19,
37683380118851,115,
37683380119610,112,
37683380120410,18,
37683380122788,44,
37683380126938,1,
37683380127647,109,
37683380128744,42,
37683380131979,19,
37683383730173,296,
37683383730181,514,
37683383730231,186,
37683383730314,345,
37683383730371,145,
37683383730751,31,
37683383730884,485,
37683383730959,495,
37683383731056,53,
37683383731130,2,
37683383731189,102,
37683383731213,203,
37683383731247,142,
37683383731395,124,
37683383732781,487,
37683383732997,360,
37683383733508,371,
37683383733698,246,
37683383734431,213,
37683383734654,318,
37683383735750,395,
37683383737962,117,
37683386040083,6,
37683386061964,79,
37683460000001,3,
37683460106328,479,
37683463730033,692,
37683463731007,445,
37683463737384,46,
37683463737418,380,
37684030125401,103,
37684036120893,194,
37684110000000,87,
37684110000001,2,
37684110111831,689,
37684110115873,2,
37684113730124,381,
37684113730405,551,
37684113730801,318,
37684113730843,708,
37684113731064,586,
37684113731155,28,
37684113731304,87,
37684113731460,3,
37684113731502,498,
37684113731627,569,
37684113732047,74,
37684113732849,463,
37684113733953,355,
37684113738226,646,
37684113738234,366,
37684370128470,28,
37684520106120,414,
37684520114264,35,
37684520115451,81,
37684520118430,308,
37684520124917,22,
37684520126300,10,
37684523730728,492,
37684523730942,111,
37684523732039,58,
37684523738705,547,
37735510127423,265,
37735513730017,34,
37735513730694,503,
37735513731163,12,
37735690000001,2,
37735693731221,98,
37735693735206,485,
37735693739018,680,
37735693739026,26,
37737910105726,591,
37737910109785,21,
37737913730215,51,
37737913730793,19,
37737913737632,690,
37754160132472,47,
37754163730975,15,
37754166119275,12,
37756143731114,263,
37756143731312,23,
37756143731601,11,
37764710114678,153,
37764710114694,111,
37768510129320,1,
37768510132886,39,
37770320134577,70,
37770990136077,3,
38103893830361,9,
38103893830395,19,
38103893830445,14,
38684780101774,31,
38684780102103,39,
38684780107300,67,
38684780118133,23,
38684780118141,220,
38684780119875,68,
38684780119958,78,
38684780127530,80,
38684783830031,47,
38684783830064,43,
38684783830197,86,
38684783830205,136,
38684783830254,229,
38684783830288,280,
38684783830387,137,
38684783830403,85,
38684783830411,43,
38684783830429,22,
38684783830437,100,
38684783831765,414,
38684783833241,471,
38684783833407,665,
38684783834082,223,
38684783834769,60,
38684783839081,442,
39103970120717,36,
39103970121723,63,
39103973930195,9,
39103973930468,164,
39103973930476,203,
39685020126011,4,
39685023930054,24,
39685023932308,210,
39685690000001,1,
39685693933793,50,
39685693933801,630,
39685770000001,1,
39685770118307,42,
39685773933959,128,
39685850101956,86,
39685850108225,323,
39685850122580,50,
39685853930237,400,
39685853930278,44,
39685853930344,49,
39685853930443,64,
39685853934759,393,
39685853934767,70,
39685853934783,400,
39685930101576,267,
39685930112565,48,
39685930116376,282,
39685930126094,30,
39685933930310,335,
39685933932001,316,
39685933935103,336,
39685933935111,80,
39686270126755,59,
39686270127191,91,
39686270129908,83,
39686270129916,19,
39686270130864,55,
39686270132365,1,
39686270133116,82,
39686276119309,62,
39686500125849,96,
39686500128215,12,
39686503935756,212,
39686760000001,1,
39686760108159,441,
39686760115402,33,
39686760118497,66,
39686760119743,88,
39686760119784,80,
39686760120733,39,
39686760123802,117,
39686760124248,37,
39686763930211,90,
39686763930427,79,
39686763932100,412,
39686763932654,367,
39686763937406,250,
39686766104368,1,
39754990102392,126,
39754990114140,114,
39754990119040,374,
39754993930302,398,
39754993938008,422,
39767600128967,199,
40104050101725,156,
40104054030078,15,
40104054030250,45,
40687004030102,23,
40687004030151,30,
40687004030755,250,
40687590000001,1,
40687590125328,86,
40687594030268,222,
40687594030557,489,
40687594033205,63,
40688094030045,35,
40688094034807,157,
40688094036703,312,
40688334037008,13,
40688414030128,1,
40688414030185,29,
40688414037701,160,
40754570000001,1,
40754570119354,43,
40754574035754,398,
40754574035762,72,
40754654030144,4,
40754654032009,51,
41104130113266,6,
41104130113332,5,
41104130117143,1,
41104130128652,6,
41104134130076,13,
41688904130027,16,
41688904132817,237,
41689160112284,73,
41689240127548,96,
41689244133393,218,
41689244135075,109,
41689244137535,193,
41689244137592,82,
41689244137790,353,
41689404135331,29,
41689990134197,27,
41690470000001,1,
41690470128165,61,
41690470129759,4,
41690474130217,337,
41690474130472,303,
41690474130738,256,
41690474133070,309,
41690474134557,283,
41690474136370,347,
41690620000001,1,
41690620112722,96,
41690620119503,78,
41690620126722,62,
41690624130993,506,
41690624133716,514,
41690624135687,147,
41690624136693,415,
41690624138053,377,
41690704130324,43,
41690704132551,340,
41690704137279,275,
42104214230157,10,
42691120111773,61,
42691120124255,14,
42691464230181,8,
42691464230587,149,
42691464230595,7,
42692294230454,305,
42692294233029,48,
42692294233060,270,
42692600116434,133,
42693100000001,1,
42693100102285,552,
42693104231452,297,
42693104234613,441,
42693104236030,487,
42693284230074,7,
42693284236345,193,
42750100134866,1,
42750104231205,13,
42767860120402,98,
42767864231726,463,
42767864232690,22,
42767864235230,480,
42767864235727,454,
42769500132894,79,
43104390000001,2,
43104390113431,82,
43104390123257,40,
43104390123794,52,
43104390135087,54,
43104394330254,32,
43104394330320,15,
43694014330239,367,
43694014330759,155,
43694014330866,309,
43694014331955,234,
43694014336137,278,
43694014338505,322,
43694270000001,3,
43694270107151,49,
43694270116889,106,
43694270123745,87,
43694270125427,50,
43694270125617,46,
43694274330015,367,
43694274330023,494,
43694274330031,634,
43694274330312,22,
43694274330353,74,
43694274330361,18,
43694274330668,99,
43694274330676,174,
43694274330692,654,
43694274330726,3,
43694274332318,85,
43694274332995,359,
43694274333639,207,
43694274334900,300,
43694274335204,378,
43694274335428,281,
43694274335907,486,
43694274337903,530,
43694684331799,532,
43694684332474,434,
43694684333316,546,
43694684334421,445,
43694684334462,533,
43694840114496,50,
43694840118380,431,
43694844332839,299,
43694844334850,119,
43695340000001,2,
43695344334371,470,
43695344337762,337,
43695830000001,1,
43695830102368,312,
43695834333951,225,
43695834334488,78,
43696090000001,1,
43696094334116,448,
43696094334728,429,
43696094334736,19,
43696410000001,3,
43696414332904,453,
43696414335782,449,
43696660000001,1,
43696664330080,234,
43696664330502,137,
43696664330585,67,
43696664330593,24,
43696664332110,91,
43696664333522,421,
43696664333795,435,
43696664335949,381,
43696664337200,240,
43696664338950,389,
43696744330122,414,
43696744330247,59,
43696744338406,55,
43696744338802,425,
43733874331039,58,
43733874334470,695,
44104474430146,18,
44104474430252,72,
44104474430278,260,
44697650100305,35,
44697990105858,289,
44697990117804,59,
44697994430203,10,
44697994430229,80,
44697994430245,6,
44697994430518,279,
44697994437794,65,
44697994437901,331,
44698070110007,70,
44698074430179,18,
44698074436754,174,
44698234430096,24,
44698234430187,56,
44698234430195,19,
44698234432340,182,
44698234436960,30,
44698234437109,213,
44698234437406,240,
44754324430211,184,
45104540132647,20,
45104544530150,13,
45104544530317,1,
45698564530028,191,
45698564530051,36,
45698564530333,32,
45698564530762,22,
45698564530804,111,
45699894530010,15,
45699894530226,13,
45699894531000,28,
45699894533600,27,
45701104530341,18,
45701360000001,2,
45701360106013,118,
45701364530044,303,
45701364530200,83,
45701364530267,80,
45701364530309,44,
45701364532750,246,
45701364537304,338,
45701690129957,11,
45701690134031,1,
45752670120170,44,
45752674530077,16,
45752674530101,17,
45752674531901,102,
46701774632303,2,
46701774634259,22,
47104700117168,46,
47104704730032,5,
47702504732707,13,
47704664730057,7,
47704664730123,1,
47704664734356,14,
47704664734901,3,
47704664735403,80,
47704664738753,30,
47705164739207,133,
47736844731253,16,
47764554730107,8,
47764554733309,39,
48104884830071,19,
48104886089668,3,
48705240118968,4,
48705244830048,30,
48705244831004,394,
48705324830055,11,
48705324832259,256,
48705400122093,1,
48705400123356,11,
48705400125310,42,
48705404830170,354,
48705404830451,468,
48705404833000,266,
48705404836003,76,
48705654830022,41,
48705654830162,5,
48705654838801,350,
48705730135095,55,
48705734830089,348,
48705734830113,92,
48705734833869,72,
48705734837803,418,
48705810101980,1,
48705814830147,285,
48705814830196,82,
48705814838058,76,
48705814838504,283,
49104960000001,3,
49104964930079,8,
49104964930343,11,
49706074930327,31,
49706074930400,315,
49706074931507,128,
49706150127662,1,
49706564930848,2,
49706564930855,105,
49707060129981,15,
49707064930053,2,
49707306120588,40,
49707970107284,48,
49707970134296,2,
49708390120584,48,
49708540132357,3,
49708620000001,1,
49708620128157,8,
49708624930012,373,
49708624930103,15,
49708624930111,21,
49708624930236,20,
49708624935151,271,
49708624935862,25,
49708700106344,10,
49709040101923,100,
49709200000001,6,
49709200108811,3,
49709204930160,215,
49709204930244,329,
49709204934154,328,
49709204935292,216,
49709204935607,142,
49709204936803,419,
49709530000001,1,
49709534930152,12,
49709534937256,264,
49709614930319,34,
49738820000001,3,
49738820123786,31,
49738820127092,7,
49738824930046,42,
49738824930384,83,
49738824935482,268,
49753580000001,2,
49753584930228,406,
49753584930269,35,
49753904930251,6,
49753904932554,131,
50105040129023,164,
50105040131235,25,
50105045030069,16,
50105045030085,27,
50105045030226,17,
50105045030234,37,
50105046069546,10,
50710430000001,1,
50710430107136,37,
50710430108076,359,
50710435030168,92,
50710435030200,67,
50710435030879,334,
50710685030267,100,
50710685031521,71,
50710926112965,19,
50711346113286,19,
50711750000001,2,
50711750110593,564,
50711750120212,17,
50711750121129,527,
50711755030010,394,
50711755030135,336,
50711755031380,336,
50711755031802,431,
50711755034905,519,
50711755034913,226,
50712170133124,21,
50712175030127,46,
50712175036256,324,
50736015030036,15,
50736015030184,1,
50736015035902,189,
50755495032651,175,
50755495032669,11,
50755560112573,35,
50755565036850,130,
50755645030176,17,
50755645030192,13,
50755645031950,38,
50755645035654,342,
50755720117689,16,
50755725030259,103,
50755725030317,186,
50757390124669,43,
50757390131185,22,
50757395030283,513,
50757395036884,97,
50757395037700,487,
51105120114207,23,
51105126069454,1,
51713735132758,52,
51713995130059,15,
51713995130067,7,
51713995135256,111,
51714070109793,124,
51714150129007,59,
51714150132761,5,
51714230132977,5,
51714495130042,20,
51714495137500,170,
51714560133934,18,
51714640107722,392,
51714645130018,53,
51714645130075,20,
51714645130125,15,
51714645139001,341,
52105206069462,1,
52105206119671,21,
52715065231675,12,
52715065231709,171,
52715220132597,10,
52715715235106,32,
52716395237151,49,
52716395237201,334,
53105380125633,15,
53738335337423,6,
53750285330022,3,
53750285337407,18,
53765135330014,2,
53765135337456,77,
54105460119602,51,
54105460124057,2,
54105465430061,11,
54105465430327,47,
54105465430343,5,
54105466119291,13,
54718030112458,32,
54718035430301,18,
54718370109009,34,
54718370122705,12,
54718605430095,13,
54718605430806,31,
54718605433230,222,
54719930124776,17,
54719935430194,35,
54719935432414,205,
54721400123273,174,
54722490107649,7,
54722490116368,316,
54722490130708,41,
54722490133793,62,
54722495430145,11,
54722495435409,355,
54722495435466,364,
54722560109751,241,
54722560120659,35,
54722565430012,1,
54722565430046,356,
54722565430368,450,
54722565432828,309,
54722565434527,444,
54722565435839,76,
54753255430210,169,
54753255430277,12,
54755230114348,92,
54755230116590,113,
54755235430228,1,
54755235430251,263,
54755235430350,1,
54755235430624,83,
54755235432786,357,
54755235434113,412,
54755235434931,68,
54755310102186,65,
54755315431119,22,
54755315431184,379,
54767945436258,18,
54767945436282,140,
54768365430087,30,
54768365431598,175,
54768365431614,16,
55105535530118,2,
55723630100099,14,
55723895530019,13,
55723895530043,43,
55723895536503,185,
55724130112276,63,
55724135530050,8,
55724135530092,1,
55724135530175,1,
55724135530191,38,
55724135536750,62,
55751845530076,14,
55751845530084,9,
55751845530159,2,
56105610109900,150,
56105610122713,19,
56105615630223,12,
56105615630397,17,
56105616069231,9,
56724540000001,1,
56724540124750,7,
56724545630173,30,
56724545632021,208,
56724705630363,20,
56725040127043,3,
56725205630405,5,
56725205631817,13,
56725205634076,158,
56725460000001,2,
56725460120634,36,
56725460125674,220,
56725465630066,140,
56725465630389,622,
56725465631619,630,
56725465631742,482,
56725465632849,439,
56725465634548,631,
56725465634761,408,
56726030000001,1,
56726035630249,39,
56726035630322,284,
56726035634993,60,
56726035635008,402,
56726035636188,430,
56726520000001,1,
56726525630272,52,
56726525630298,88,
56726525630348,239,
56726525630793,381,
56726525637822,427,
56737590000001,1,
56737590123349,17,
56737595630108,56,
56737595630116,639,
56737595633748,579,
56737595637004,528,
56738745630132,337,
56738745630199,19,
56738745630256,48,
56739400121426,23,
56739405630215,11,
56739405630371,43,
56739405633250,459,
56768280000001,1,
56768285635776,312,
56768285636170,51,
57105790113787,19,
57105795730106,1,
57726780000000,1,
57726780000001,1,
57726780119578,97,
57726785730098,40,
57726785732201,508,
57726785732219,31,
57726865730056,10,
57726865732904,67,
57726940115329,7,
57726945735154,432,
57726945739552,55,
57727020000000,2,
57727025730049,16,
57727025738505,88,
57727100000001,1,
57727100101162,341,
57727105738802,246,
57727105738810,80,
58105870113274,2,
58105875830047,3,
58105875830112,45,
58727286115935,50,
58727360000000,93,
58727365830013,203,
58727365830096,68,
58727365830138,46,
58727365835202,195,
58727695838305,152,
Grand Total,429560,
